authorityValue,dsQID,authorityValueLabel,authorityTypeLabel,externalID
https://catalog.digital-scriptorium.org/entity/Q6995,Q6995,Samaritan Aramaic,Language (Authority File),Q56612
https://catalog.digital-scriptorium.org/entity/Q76107,Q76107,Samaritan Hebrew,Language (Authority File),Q56502
https://catalog.digital-scriptorium.org/entity/Q27494,Q27494,Sanskrit,Language (Authority File),Q11059
https://catalog.digital-scriptorium.org/entity/Q76237,Q76237,Shan,Language (Authority File),Q56482
https://catalog.digital-scriptorium.org/entity/Q6996,Q6996,Sicilian,Language (Authority File),Q33973
https://catalog.digital-scriptorium.org/entity/Q27509,Q27509,Sinhala,Language (Authority File),Q13267
https://catalog.digital-scriptorium.org/entity/Q38119,Q38119,Slavic,Language (Authority File),Q23526
https://catalog.digital-scriptorium.org/entity/Q38118,Q38118,Slavonic-Serbian,Language (Authority File),Q1639124
https://catalog.digital-scriptorium.org/entity/Q114,Q114,Spanish,Language (Authority File),Q1321
https://catalog.digital-scriptorium.org/entity/Q38100,Q38100,Standard High German,Language (Authority File),Q279350
https://catalog.digital-scriptorium.org/entity/Q12713,Q12713,Syriac,Language (Authority File),Q33538
https://catalog.digital-scriptorium.org/entity/Q38120,Q38120,Tachelhit,Language (Authority File),Q34152
https://catalog.digital-scriptorium.org/entity/Q67913,Q67913,Tajik,Language (Authority File),Q9260
https://catalog.digital-scriptorium.org/entity/Q27498,Q27498,Tamil,Language (Authority File),Q5885
https://catalog.digital-scriptorium.org/entity/Q74790,Q74790,Tatar,Language (Authority File),Q25285
https://catalog.digital-scriptorium.org/entity/Q27503,Q27503,Telugu,Language (Authority File),Q8097
https://catalog.digital-scriptorium.org/entity/Q27515,Q27515,Thai,Language (Authority File),Q9217
https://catalog.digital-scriptorium.org/entity/Q76105,Q76105,Tiberian Hebrew,Language (Authority File),Q2071345
https://catalog.digital-scriptorium.org/entity/Q67912,Q67912,Tibetan,Language (Authority File),Q34271
https://catalog.digital-scriptorium.org/entity/Q4337,Q4337,Turkish,Language (Authority File),Q256
https://catalog.digital-scriptorium.org/entity/Q106562,Q106562,Turkmen,Language (Authority File),Q9267
https://catalog.digital-scriptorium.org/entity/Q3661,Q3661,Tuscan,Language (Authority File),Q1990745
https://catalog.digital-scriptorium.org/entity/Q64220,Q64220,Tzeltal,Language (Authority File),Q36808
https://catalog.digital-scriptorium.org/entity/Q64217,Q64217,Tz’utujil,Language (Authority File),Q36941
https://catalog.digital-scriptorium.org/entity/Q27496,Q27496,Urdu,Language (Authority File),Q1617
https://catalog.digital-scriptorium.org/entity/Q8381,Q8381,Valencian,Language (Authority File),Q32641
https://catalog.digital-scriptorium.org/entity/Q3662,Q3662,Venetian,Language (Authority File),Q32724
https://catalog.digital-scriptorium.org/entity/Q55346,Q55346,Vulgar Latin,Language (Authority File),Q37560
https://catalog.digital-scriptorium.org/entity/Q38108,Q38108,Welsh,Language (Authority File),Q9309
https://catalog.digital-scriptorium.org/entity/Q18352,Q18352,Western Syriac script,Language (Authority File),Q12057990
https://catalog.digital-scriptorium.org/entity/Q74786,Q74786,Yemenite Hebrew,Language (Authority File),Q34291
https://catalog.digital-scriptorium.org/entity/Q74789,Q74789,Yevanic,Language (Authority File),Q34200
https://catalog.digital-scriptorium.org/entity/Q74791,Q74791,Yiddish,Language (Authority File),Q8641
https://catalog.digital-scriptorium.org/entity/Q38111,Q38111,Yucatec Maya,Language (Authority File),Q13354
https://catalog.digital-scriptorium.org/entity/Q38110,Q38110,multiple languages,Language (Authority File),Q20923490
https://catalog.digital-scriptorium.org/entity/Q16428,Q16428,no linguistic content,Language (Authority File),Q22282939
https://catalog.digital-scriptorium.org/entity/Q12714,Q12714,undetermined language,Language (Authority File),Q22282914
